Academic Year ,LSS Number ,LSS Name ,School Number ,School Name ,Student Group ,Tested Count ,Proficient Count , Proficient Percent ,Create Date 
2020,02,Anne Arundel,3162,Millersville Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3172,Odenton Elementary,All,57,6,10.5,20230914
2020,02,Anne Arundel,3172,Odenton Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3182,Pershing Hill Elementary,All,15,3,20.0,20230914
2020,02,Anne Arundel,3182,Pershing Hill Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3192,Ridgeway Elementary,All,43,6,14.0,20230914
2020,02,Anne Arundel,3192,Ridgeway Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3202,Severn Elementary,All,38,5,13.2,20230914
2020,02,Anne Arundel,3202,Severn Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3212,South Shore Elementary,All,34,5,14.7,20230914
2020,02,Anne Arundel,3212,South Shore Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3222,Waugh Chapel Elementary,All,31,7,22.6,20230914
2020,02,Anne Arundel,3222,Waugh Chapel Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3232,West Meade Early Education Center,All,*,*,*,20230914
2020,02,Anne Arundel,3242,Piney Orchard Elementary,All,10,3,30.0,20230914
2020,02,Anne Arundel,3242,Piney Orchard Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3263,Crofton Middle,All,28,2,7.1,20230914
2020,02,Anne Arundel,3263,Crofton Middle,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3272,Four Seasons Elementary,All,19,3,15.8,20230914
2020,02,Anne Arundel,3272,Four Seasons Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3282,Nantucket Elementary,All,74,18,24.3,20230914
2020,02,Anne Arundel,3282,Nantucket Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3323,Meade High,All,192,20,10.4,20230914
2020,02,Anne Arundel,3323,Meade High,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,3333,Old Mill Middle North,All,57,*,<= 5.0,20230914
2020,02,Anne Arundel,3333,Old Mill Middle North,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,3343,Old Mill Middle South,All,57,*,<= 5.0,20230914
2020,02,Anne Arundel,3343,Old Mill Middle South,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3353,Old Mill High,All,118,9,7.6,20230914
2020,02,Anne Arundel,3353,Old Mill High,Students with Disabilities,14,2,14.3,20230914
2020,02,Anne Arundel,3362,Crofton Meadows Elementary,All,18,4,22.2,20230914
2020,02,Anne Arundel,3362,Crofton Meadows Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3372,Glen Burnie Park Elementary,All,104,17,16.3,20230914
2020,02,Anne Arundel,3372,Glen Burnie Park Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3382,Southgate Elementary,All,73,4,5.5,20230914
2020,02,Anne Arundel,3382,Southgate Elementary,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,3392,Rippling Woods Elementary,All,73,8,11.0,20230914
2020,02,Anne Arundel,3392,Rippling Woods Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3414,Ruth Parker Eason School,All,*,*,*,20230914
2020,02,Anne Arundel,3414,Ruth Parker Eason School,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,3423,Meade Middle,All,140,*,<= 5.0,20230914
2020,02,Anne Arundel,3423,Meade Middle,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,4013,Annapolis High,All,356,*,<= 5.0,20230914
2020,02,Anne Arundel,4013,Annapolis High,Students with Disabilities,37,*,<= 5.0,20230914
2020,02,Anne Arundel,4023,Southern High,All,31,*,<= 5.0,20230914
2020,02,Anne Arundel,4023,Southern High,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4033,Annapolis Middle,All,225,*,<= 5.0,20230914
2020,02,Anne Arundel,4033,Annapolis Middle,Students with Disabilities,34,*,<= 5.0,20230914
2020,02,Anne Arundel,4043,Wiley H. Bates Middle,All,81,*,<= 5.0,20230914
2020,02,Anne Arundel,4043,Wiley H. Bates Middle,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,4053,Southern Middle,All,48,*,<= 5.0,20230914
2020,02,Anne Arundel,4053,Southern Middle,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,4064,Mary Moss at Adams Academy,All,*,*,*,20230914
2020,02,Anne Arundel,4064,Mary Moss at Adams Academy,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4074,Phoenix Academy,All,*,*,*,20230914
2020,02,Anne Arundel,4074,Phoenix Academy,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4092,Annapolis Elementary,All,32,2,6.3,20230914
2020,02,Anne Arundel,4092,Annapolis Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4112,Central Elementary,All,30,5,16.7,20230914
2020,02,Anne Arundel,4112,Central Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4122,Davidsonville Elementary,All,*,*,*,20230914
